dataset,model,attack,Successfulness,Concealability,Efficiency,Num of iters,eta,mu,norm_coef,smoothness,seed
Coffee,PatchTST,SGM,0.421838830273324,0.2727,0.931,15.0,1.0,1.0,0.0,0.0,100
Coffee,RNNAttention,SGM,1.0,1.0,1.0,355.0,0.1,1.0,0.1,0.1,100
Coffee,ResCNN,SGM,0.9642672190574832,1.0,0.931,25.0,0.05,1.0,0.1,0.1,100
Coffee,S4,SGM,0.8948297040759353,0.871,0.92,12.0,0.25,1.0,0.0,0.0,100
FreezerRegularTrain,PatchTST,SGM,0.4571383666179575,0.3032,0.9286,8.0,0.1,1.0,0.0,0.0,100
FreezerRegularTrain,RNNAttention,SGM,0.2429309864319765,0.3628,0.1825999999999999,499.0,1.0,1.0,0.5,0.5,100
FreezerRegularTrain,ResCNN,SGM,0.9915599737797498,0.9979,0.9853,1.0,0.1,1.0,0.0,0.0,100
FreezerRegularTrain,S4,SGM,0.4601665510979032,0.3087999999999999,0.9026,11.0,0.1,1.0,0.0,0.0,100
GunPoint,PatchTST,SGM,0.5034747606614448,0.7765,0.3725,425.0,0.05,1.0,0.0,0.0,100
GunPoint,RNNAttention,SGM,0.9266931415691746,0.8634,1.0,490.0,1.0,1.0,0.0,0.0,100
GunPoint,ResCNN,SGM,0.5376122165664045,0.5025,0.5780000000000001,482.0,0.05,1.0,0.1,0.1,100
GunPoint,S4,SGM,0.4749285490441868,0.961,0.3154,414.0,0.05,1.0,0.1,0.1,100
GunPointMaleVersusFemale,PatchTST,SGM,0.3335878909293266,0.6772,0.2213,440.0,0.1,1.0,0.1,0.1,100
GunPointMaleVersusFemale,RNNAttention,SGM,0.605597292165442,0.6,0.6113,409.0,0.25,1.0,0.0,0.0,100
GunPointMaleVersusFemale,ResCNN,SGM,0.9280844949141596,0.8991,0.959,499.0,0.1,1.0,0.0,0.0,100
GunPointMaleVersusFemale,S4,SGM,0.6003688319340108,0.4479999999999999,0.9098,35.0,1.0,1.0,0.0,0.0,101
PowerCons,PatchTST,SGM,0.1989366361159276,0.1775999999999999,0.2260999999999999,485.0,0.1,1.0,0.0,0.0,100
PowerCons,RNNAttention,SGM,0.1180515117581186,0.0699999999999999,0.3764999999999999,435.0,1.0,1.0,0.0,0.0,100
PowerCons,ResCNN,SGM,0.4013683622828783,0.8673,0.2611,400.0,0.05,1.0,0.1,0.1,100
PowerCons,S4,SGM,0.4118023506836171,0.3708,0.4629999999999999,406.0,1.0,1.0,0.0,0.0,100
Strawberry,PatchTST,SGM,0.6537573270334122,0.9946,0.4869,483.0,0.05,1.0,0.1,0.1,100
Strawberry,RNNAttention,SGM,0.5755664638719893,0.7209,0.479,446.0,0.05,1.0,1.0,1.0,100
Strawberry,ResCNN,SGM,0.5444863632250475,0.6193,0.4858,494.0,0.05,1.0,0.5,0.5,100
Strawberry,S4,SGM,0.4274454893491706,0.7136,0.3051,499.0,0.05,1.0,1.0,1.0,100
