dataset,model,attack,Successfulness,Concealability,Efficiency,Num of iters,alpha,epsilon,seed
Coffee,PatchTST,iFGSM Sum Reg (ours),1.0,1.0,1.0,27.0,0.1,0.05,100
Coffee,RNNAttention,iFGSM Sum Reg (ours),1.0,1.0,1.0,45.0,1.0,0.05,100
Coffee,ResCNN,iFGSM Sum Reg (ours),1.0,1.0,1.0,7.0,0.1,0.01,100
Coffee,S4,iFGSM Sum Reg (ours),1.0,1.0,1.0,49.0,1.0,0.05,100
FreezerRegularTrain,PatchTST,iFGSM Sum Reg (ours),0.9996493688731938,0.999298983544577,1.0,50.0,10.0,0.05,100
FreezerRegularTrain,RNNAttention,iFGSM Sum Reg (ours),0.9435979399156688,0.9781718961894512,0.9113846123218536,50.0,10.0,0.01,100
FreezerRegularTrain,ResCNN,iFGSM Sum Reg (ours),0.997155805942951,0.9951031827367844,0.9992169146426024,6.0,0.01,0.005,100
FreezerRegularTrain,S4,iFGSM Sum Reg (ours),0.9510260662512314,0.9876712327823044,0.9170028790831566,50.0,0.1,0.01,100
GunPoint,PatchTST,iFGSM Sum Reg (ours),0.8021954925950128,0.9870129870250822,0.6756756901741028,49.0,1.0,0.05,100
GunPoint,RNNAttention,iFGSM Sum Reg (ours),0.5127976095014004,0.5124378204345703,0.5131579041481018,44.0,0.1,0.005,100
GunPoint,ResCNN,iFGSM Sum Reg (ours),0.7363520988316611,0.9235668778419496,0.6122449040412903,40.0,1.0,0.03,100
GunPoint,S4,iFGSM Sum Reg (ours),0.8859649081305976,1.0,0.7952755838632584,40.0,1.0,0.03,100
GunPointMaleVersusFemale,PatchTST,iFGSM Sum Reg (ours),0.6731515009277899,0.7717391252517701,0.5968992114067078,49.0,1.0,0.03,100
GunPointMaleVersusFemale,RNNAttention,iFGSM Sum Reg (ours),0.414698150749684,0.3224489688873291,0.580882340669632,41.0,0.01,0.005,100
GunPointMaleVersusFemale,ResCNN,iFGSM Sum Reg (ours),1.0,1.0,1.0,50.0,100.0,0.05,100
GunPointMaleVersusFemale,S4,iFGSM Sum Reg (ours),0.5814977675597104,1.0,0.4099378585815429,48.0,0.1,0.03,100
PowerCons,PatchTST,iFGSM Sum Reg (ours),0.969709458067175,1.0,0.9412,49.0,1.0,0.05,100
PowerCons,RNNAttention,iFGSM Sum Reg (ours),0.3786110760691308,0.3125,0.4801999999999999,48.0,0.0001,0.05,100
PowerCons,ResCNN,iFGSM Sum Reg (ours),0.6364124750499003,0.9149,0.4879,46.0,0.1,0.005,100
PowerCons,S4,iFGSM Sum Reg (ours),0.8152360642142052,1.0,0.6880999999999999,50.0,0.1,0.05,100
Strawberry,PatchTST,iFGSM Sum Reg (ours),0.7694117237259079,0.904040403664112,0.6696832478046417,46.0,0.1,0.01,100
Strawberry,RNNAttention,iFGSM Sum Reg (ours),0.5372200688691929,0.4829659461975097,0.6052060723304749,40.0,0.1,0.005,100
Strawberry,ResCNN,iFGSM Sum Reg (ours),0.4500000254064794,1.0,0.2903226017951965,50.0,1.0,0.005,100
Strawberry,S4,iFGSM Sum Reg (ours),0.7992809218416527,0.98944590985775,0.6704289019107819,50.0,1.0,0.03,100
